,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type
10203042,True,False,675.0,2.0,,,,,,,,,,,3.0,False,"
                                    Excellent état
                                ",4980,Appartement
10302369,True,False,725.0,2.0,111.0,,False,,,,,,,,,False,"
                                    Excellent état
                                ",9700,Appartement
10204303,True,False,675.0,,,,,,,,,,,,,False,"
                                    Excellent état
                                ",6220,Appartement
10302135,True,False,825.0,2.0,108.0,True,False,,,,,,,,2.0,,,1080,Appartement
10166121,True,False,700.0,2.0,75.0,True,False,,True,,,,,,,,"
                                    Bon
                                ",4500,Appartement
10302071,True,False,995.0,1.0,,True,,,,,,,,,,False,,1180,Appartement
10245724,True,False,700.0,1.0,,,,,,,,,,,2.0,False,"
                                    Bon
                                ",6700,Appartement
10301556,True,False,1400.0,1.0,45.0,,True,,,,,,,,2.0,False,"
                                    Fraîchement rénové
                                ",1190,Appartement
10270170,True,False,720.0,2.0,100.0,True,False,,,,,,,,3.0,False,"
                                    Excellent état
                                ",9770,Loft
10290629,True,False,635.0,2.0,90.0,True,False,,,,,,,,,False,"
                                    Excellent état
                                ",9620,Appartement
10278120,True,False,725.0,,45.0,True,False,,,,,,,,4.0,,,1050,Studio
10295528,True,False,500.0,2.0,45.0,,False,,,,,,,,,,,6000,Appartement
10136580,True,False,725.0,2.0,70.0,,False,,True,,,,,,,,"
                                    Bon
                                ",1400,Appartement
10295790,True,False,875.0,2.0,98.0,True,False,,,,,,,,,,"
                                    Fraîchement rénové
                                ",5000,Appartement
10270891,True,False,730.0,2.0,,True,False,,,,,,,,4.0,False,"
                                    Bon
                                ",8790,Appartement
10295688,True,False,890.0,4.0,163.0,True,False,,,,,,,,2.0,,,7711,Appartement
10283195,True,False,750.0,1.0,,,True,,,,,,,,2.0,False,"
                                    Bon
                                ",1070,Studio
10295270,True,False,1500.0,2.0,110.0,True,False,,,,,,,,3.0,,,1000,Appartement
