Model,R2,MSE,MAE,MAEP
KNeighborsRegressorK159,0.4021675635409204,477841.9696088379,502.9842745115542,0.773157238011165
KNeighborsRegressorK16,0.45519817424792486,407385.1799456305,479.32868256863725,0.7835633571503869
KNeighborsRegressorK160,0.4021313321534867,478004.5321738925,502.98761701049125,0.773157167788301
KNeighborsRegressorK161,0.40175009811882495,478346.7352837019,503.09405601683625,0.7731115694742647
KNeighborsRegressorK162,0.4015868563621652,478597.5920226275,503.10068660540446,0.7731162934211341
KNeighborsRegressorK163,0.4014174328690064,478850.44938776863,503.1377912325974,0.7730928247069475
KNeighborsRegressorK164,0.4011490814696132,479183.1288641911,503.2826084613949,0.7730346220221598
KNeighborsRegressorK165,0.400878704260589,479544.6462105111,503.46038710881686,0.7729575939053503
KNeighborsRegressorK166,0.4005803019108698,479874.934484994,503.55842814963563,0.772918960765144
KNeighborsRegressorK167,0.4003831908400023,480176.17353404814,503.63209619004556,0.7728891157300218
KNeighborsRegressorK168,0.4001442643160773,480588.14362175623,503.72026970227853,0.7728568275671712
KNeighborsRegressorK169,0.3998477380573905,480980.82231001934,503.80879563530004,0.772813750735598
KNeighborsRegressorK17,0.4553607954142156,407753.6973308112,479.90563015324295,0.7833040187619634
KNeighborsRegressorK170,0.39967799189254727,481267.20106539637,503.8725140120239,0.7727844821458856
KNeighborsRegressorK171,0.3995912421075223,481429.57529273204,503.91424861862566,0.772761784360388
KNeighborsRegressorK172,0.3993080595408448,481724.4835237189,504.0076853202355,0.7727099967151585
KNeighborsRegressorK173,0.3991912871688547,481940.4083484215,504.01887729109285,0.7727054145704112
KNeighborsRegressorK174,0.3990031795178375,482201.3549158207,504.1501541986351,0.7726529955339237
KNeighborsRegressorK175,0.3988781158581244,482442.8757682409,504.1718216842644,0.7726491957910055
KNeighborsRegressorK176,0.39871868280505146,482620.45869442343,504.25447337244873,0.772620047284608
KNeighborsRegressorK177,0.39842736810850726,482831.43314423773,504.3654339254386,0.7725623467913062
KNeighborsRegressorK178,0.39823679983208443,483024.81683610834,504.44668240186843,0.7725274068131467
KNeighborsRegressorK179,0.3979827186181685,483266.1320789263,504.5636864571873,0.7724736065193623
KNeighborsRegressorK18,0.45588550374136977,407531.648017216,479.61668854470605,0.7834804917576165
KNeighborsRegressorK180,0.3978312779692652,483511.78420737083,504.64714371066987,0.7724423206912945
KNeighborsRegressorK181,0.3975558538264359,483828.40580762073,504.75140721259027,0.7723922950866307
KNeighborsRegressorK182,0.39730638789238537,484141.76233344426,504.8624768141374,0.7723424767944442
KNeighborsRegressorK183,0.3970303105784182,484404.0924088946,504.9783114212098,0.7722882107435499
KNeighborsRegressorK184,0.3968872504883209,484594.8000034696,505.035598224961,0.7722653305898018
KNeighborsRegressorK185,0.39681946130922346,484740.90719844017,505.09171241559284,0.7722436516377834
KNeighborsRegressorK186,0.39657586122993704,485030.0990149434,505.2169896349417,0.7721912597733149
KNeighborsRegressorK187,0.3963245939008828,485375.3511159872,505.3172106490938,0.7721603304461083
KNeighborsRegressorK188,0.3959316309916389,485742.14971004275,505.469965169337,0.7720943575279423
KNeighborsRegressorK189,0.395426524017064,486285.8519329547,505.6773916289067,0.7720003126565448
KNeighborsRegressorK19,0.454811288717651,408183.5634466895,480.3006639765923,0.7831832102414306
KNeighborsRegressorK190,0.39518017339433426,486518.3818229549,505.73601817310146,0.7719745031470041
KNeighborsRegressorK191,0.39488225957914513,486849.2928411186,505.85235418174614,0.7719235968268767
KNeighborsRegressorK192,0.3946887072248769,487154.83639482665,505.9553009080904,0.7718777171644517
KNeighborsRegressorK193,0.39446544109384757,487387.69368402025,506.0264066351109,0.7718383676307659
KNeighborsRegressorK194,0.39426971082226636,487623.19147284364,506.09101807118816,0.7718093412466313
KNeighborsRegressorK195,0.3940820030983009,487858.36245313246,506.1690351618605,0.7717757352995039
KNeighborsRegressorK196,0.39382432860501365,488235.7404792875,506.2690354412166,0.7717400749928026
KNeighborsRegressorK197,0.3936849086867428,488431.0255503634,506.3065266495769,0.7717290715109602
KNeighborsRegressorK198,0.39343303463323226,488756.8509427786,506.42045918587837,0.7716878667607822
KNeighborsRegressorK199,0.393109309198192,489065.6105744301,506.514937689175,0.7716402198749971
KNeighborsRegressorK20,0.4550376864461386,408236.7316942455,480.20268246231376,0.7832184868255291
KNeighborsRegressorK21,0.455494949702649,408407.2883171379,480.1238477632718,0.7832788452382086
KNeighborsRegressorK22,0.4556208568381611,408775.57910913887,480.4794760550239,0.7831735306807772
KNeighborsRegressorK23,0.45494779248272255,409383.2944356697,480.7222932606605,0.7830175563406311
KNeighborsRegressorK24,0.4543051388074768,409730.6935727739,481.0122960267179,0.7828954252275789
KNeighborsRegressorK25,0.45399792181799314,410332.56306025037,481.5752209686078,0.7826511324168974
KNeighborsRegressorK26,0.4533447390886305,410549.62878628867,481.9916378636587,0.7824633016264374
KNeighborsRegressorK27,0.45310757509042154,410472.8959048612,481.8729385526481,0.7824343597563267
KNeighborsRegressorK28,0.4529380560577603,410333.54416730866,481.7329000821867,0.7824469483930898
KNeighborsRegressorK29,0.4533963319620723,410225.4499462924,481.4291585586545,0.7825568100458656
KNeighborsRegressorK30,0.4526981141910153,411639.6925485476,481.665606233155,0.7824755762206501
KNeighborsRegressorK31,0.45181205699293253,412547.4273493298,482.2507319899711,0.7822093296807305
KNeighborsRegressorK32,0.45121057599217396,413271.5851907755,482.4906883508644,0.7821317423948306
KNeighborsRegressorK33,0.45005832304687843,414765.38861199276,482.98630979951616,0.7819697037184192
KNeighborsRegressorK34,0.44930300489884273,415805.99991538184,483.480336089693,0.7817496948152611
KNeighborsRegressorK35,0.4482799174665977,416960.3146165003,484.0132406197099,0.7815231819606102
KNeighborsRegressorK36,0.44915304361827674,416610.05571758957,483.72223288603266,0.7816615779598534
KNeighborsRegressorK37,0.44924542057506267,416850.593137388,483.80365283604846,0.7816493878730258
KNeighborsRegressorK38,0.44837960300306584,418070.3093039693,484.22344375399047,0.7815074350843955
KNeighborsRegressorK39,0.4481212846872595,418320.15165737196,484.2094646207058,0.7815311583293295
KNeighborsRegressorK40,0.44840473369769546,418295.93865067867,484.34320019224407,0.7814760792401534
KNeighborsRegressorK41,0.4481937886184584,418860.3231365257,484.52306772697807,0.7813875683457772
KNeighborsRegressorK42,0.4477727561577081,419447.49176226003,484.7584155624622,0.7812855117193892
KNeighborsRegressorK43,0.446514748207034,420778.17571385554,485.44324334574134,0.7809947836215623
KNeighborsRegressorK44,0.4463354511068571,421353.6630562782,485.61844388039145,0.7809068000988697
KNeighborsRegressorK45,0.4460603079650699,421688.4945946731,485.91897004161865,0.780815442270777
KNeighborsRegressorK46,0.4452731155298588,422459.9412044979,486.1951627444666,0.7806894334689588
KNeighborsRegressorK47,0.44494930517500625,422961.9222107736,486.48603342241984,0.7805681757556343
KNeighborsRegressorK48,0.4448079467607709,423305.00386808044,486.6041545036787,0.7804890056338327
KNeighborsRegressorK49,0.44400134650454803,424522.03337438696,486.8132159535478,0.7804168742446166
KNeighborsRegressorK5,0.4207593060137222,428884.56187198067,487.70358380117244,0.7796146071993232
KNeighborsRegressorK50,0.44358471134642596,424960.04583400936,487.1124361689332,0.7802625642264065
KNeighborsRegressorK51,0.4433739803299387,425381.17626722774,487.1899523855487,0.7802228606782436
KNeighborsRegressorK52,0.44292410602335663,425773.37794126425,487.3591928370771,0.780111897022511
KNeighborsRegressorK53,0.4424203949962222,426528.4551105601,487.5903443719824,0.7800211676180788
KNeighborsRegressorK54,0.44135184178575576,427342.76746779156,488.13782875642363,0.7797739252043518
KNeighborsRegressorK55,0.4407567038469036,427769.62034509657,488.3700790033052,0.7796765375323323
KNeighborsRegressorK56,0.4405898925729368,427977.06597942614,488.4711984851871,0.7796226600541063
KNeighborsRegressorK57,0.4400147456908744,428473.1363758083,488.59825165310025,0.7795366910666983
KNeighborsRegressorK58,0.4399675416857181,428490.3214088151,488.6053526900197,0.7795064323266947
KNeighborsRegressorK59,0.4396624367855906,428710.36325438763,488.75022830341095,0.7794207097741818
KNeighborsRegressorK6,0.4286723112919337,423540.3750590673,486.9417989338632,0.780010328499425
KNeighborsRegressorK60,0.4394521640391431,429004.7707945577,488.93234578932197,0.7793125222440497
KNeighborsRegressorK61,0.43874130935128386,429514.60903911176,489.20012842953935,0.7791825807263276
KNeighborsRegressorK62,0.43835474294443194,429987.07108647027,489.266242440254,0.7791422154110869
KNeighborsRegressorK63,0.43761465061967486,430801.6538262633,489.46150873468935,0.7790262329528828
KNeighborsRegressorK64,0.4370429735121573,431689.99678644625,489.6961930298825,0.7789563491179938
KNeighborsRegressorK65,0.4367404016954031,432281.1978944724,489.76027346755603,0.7789356708244662
KNeighborsRegressorK66,0.43637397490713586,432956.9994508264,489.74072973575807,0.7789236454600127
KNeighborsRegressorK67,0.4360047162730211,433321.2197997926,489.8671187782172,0.7788661061893697
KNeighborsRegressorK68,0.43510562956153276,434380.9796993921,490.19391307529673,0.7787267966790329
KNeighborsRegressorK69,0.43512698032682445,434910.9027146045,490.2388979992993,0.7787320557347381
KNeighborsRegressorK7,0.43190947289431925,420889.42014898977,486.2752318255177,0.7802663071530836
KNeighborsRegressorK70,0.43473217155751115,435486.039965848,490.3412840987029,0.7786977202882932
KNeighborsRegressorK71,0.4343281134196215,435932.9747870441,490.4558026338201,0.7786206764006034
KNeighborsRegressorK72,0.4339421910187659,436342.9994698098,490.624750790238,0.7785491773415545
KNeighborsRegressorK73,0.433471989722636,437041.34924792626,490.7835957132969,0.7784853738623487
KNeighborsRegressorK74,0.4331305468074137,437730.0477789962,491.02187504256284,0.7784066952217624
KNeighborsRegressorK75,0.43252833137856544,438569.3889367032,491.2809430237518,0.7783042413879642
KNeighborsRegressorK76,0.43152343867191484,439600.15263892047,491.74913024278396,0.778091140526547
KNeighborsRegressorK77,0.4311345362837165,440078.34103509143,491.94921507351694,0.7780062464676711
KNeighborsRegressorK78,0.4305032884534511,440855.62381430255,492.1529873804062,0.7779157506436047
KNeighborsRegressorK79,0.42987932074511903,441966.1803828982,492.410486920737,0.7778335741994946
KNeighborsRegressorK8,0.4348539541688318,419782.7734229636,484.8731641855515,0.7811802836063167
KNeighborsRegressorK80,0.4293106544869915,442598.41691373434,492.5792604583539,0.7777640739424823
KNeighborsRegressorK81,0.42897171465647455,443079.7246721184,492.81199757199226,0.7776617029853098
KNeighborsRegressorK82,0.4288936732207849,443467.1656949031,492.8401600190704,0.7776583851552138
KNeighborsRegressorK83,0.428438823945794,443832.42462468095,493.0206202011017,0.7775686590110593
KNeighborsRegressorK84,0.4280414988965692,444511.9711627023,493.21272029380947,0.7774870070715723
KNeighborsRegressorK85,0.42743183510683674,445364.2048316721,493.4142256880498,0.7773938112513432
KNeighborsRegressorK86,0.42692335428762435,445959.2379837122,493.5970254782549,0.7773021769975363
KNeighborsRegressorK87,0.42635465045008525,446570.04835048516,493.6753879843045,0.7772567755797757
KNeighborsRegressorK88,0.4257011271548584,447475.15700699337,493.8803696992294,0.7771786134945516
KNeighborsRegressorK89,0.4253987144059738,448090.2400874126,494.0594066421154,0.777117814499984
KNeighborsRegressorK9,0.43963597654687797,416821.8011264899,483.3482832308079,0.7819376151975829
KNeighborsRegressorK90,0.42474195988644137,448884.6372789074,494.2269858378802,0.7770435669732488
KNeighborsRegressorK91,0.4242554264066158,449540.63734504365,494.4839794301544,0.7769373248446109
KNeighborsRegressorK92,0.4238491827737887,449680.46070665575,494.64068119564485,0.7768614876376246
KNeighborsRegressorK93,0.4235229859539061,450288.947584131,494.5970393005112,0.7768803933205061
KNeighborsRegressorK94,0.42289405952299197,451181.3708038563,494.88421741172715,0.7767553987316698
KNeighborsRegressorK95,0.42245940431369583,451778.09225077153,495.0610539803936,0.7766704037804366
KNeighborsRegressorK96,0.422219459089459,452091.6688355332,495.0358586491395,0.776677278849149
KNeighborsRegressorK97,0.421719536138737,452762.42265372956,495.1731070986326,0.7766152548098922
KNeighborsRegressorK98,0.42148602485194353,453052.56565843,495.27525029820544,0.7765853244761785
KNeighborsRegressorK99,0.42118108722303205,453361.0740230973,495.3552072721336,0.7765425899896369
Lasso,0.38163051937052994,477704.86589980015,509.4651094955574,0.7695869280483552
LinearRegression,0.38162556339215964,477652.83128559147,509.55551716290586,0.7695395010730501
RandomForestRegressorM100N120,0.5329605197368976,332722.0888098071,412.97947179782295,0.8127047450951591
RandomForestRegressorM100N145,0.5334693542121116,332398.12056155415,412.72599242919557,0.8128942082519452
RandomForestRegressorM100N170,0.5342487252241059,332128.4378112427,412.42910643458066,0.8129644286189104
RandomForestRegressorM100N195,0.5349226463334751,332003.9680575504,412.0695378366905,0.813146354101216
RandomForestRegressorM100N20,0.515512006884773,345902.0563499417,420.3846697911489,0.8093041132143063
RandomForestRegressorM100N220,0.534530360577932,332073.125689164,412.1881721658683,0.813102222903377
RandomForestRegressorM100N245,0.5355527356351517,330875.13399046625,411.42038097026074,0.8133876785724232
RandomForestRegressorM100N270,0.5341680066282852,332363.6354741422,412.456327001635,0.813057939929021
RandomForestRegressorM100N295,0.5342737725283755,331814.8658391458,411.9047353079619,0.8131570564658249
RandomForestRegressorM100N45,0.5268623348883609,337430.880178937,415.40900216870824,0.811640875443601
RandomForestRegressorM100N70,0.531173230418118,334314.52640745044,413.4195339779689,0.8125377199262311
RandomForestRegressorM100N95,0.5329611585318565,332614.11248957936,412.1211673505213,0.81294696193761
RandomForestRegressorM125N120,0.5334042576796294,331978.9599278781,412.0405512388715,0.8130735555273829
RandomForestRegressorM125N145,0.5340297978654722,332989.84394358523,412.3379396986369,0.8130869401921302
RandomForestRegressorM125N170,0.5339161463531189,332467.0430158628,412.4862677165073,0.8130001513392965
RandomForestRegressorM125N195,0.5336547534617672,333285.62602109916,412.8681510583686,0.8129159024921623
RandomForestRegressorM125N20,0.5172288890845248,344851.4676101179,419.2721984879229,0.8100752997216067
RandomForestRegressorM125N220,0.5340294788470589,332590.9920895269,412.60989106128653,0.8129803116668973
RandomForestRegressorM125N245,0.5337607763967089,332402.15003213246,412.6424969246043,0.8128870558626435
RandomForestRegressorM125N270,0.5339824753770491,332371.07526843104,412.2794840713921,0.8130681425320866
RandomForestRegressorM125N295,0.5341083475788965,332054.05485713703,412.4090385518471,0.8129419693247834
RandomForestRegressorM125N45,0.5256171161752874,337842.5293773251,415.54121533150504,0.8115146246384232
RandomForestRegressorM125N70,0.5310533676746908,334183.0908206321,413.5037514811013,0.8125166620656182
RandomForestRegressorM125N95,0.5307104081902303,334734.990324464,413.86382550839676,0.8123518478078111
RandomForestRegressorM150N120,0.5318259831138751,333898.74447591236,413.5224357790566,0.8124677246005224
RandomForestRegressorM150N145,0.5325093873516693,333025.41675430106,412.5726107614188,0.8128991216765005
RandomForestRegressorM150N170,0.5343018369580962,332247.9101596314,411.763604608447,0.8133383919802879
RandomForestRegressorM150N195,0.5348926574248665,331868.77702567447,411.98633740092015,0.8131469227703891
RandomForestRegressorM150N20,0.5201924629735897,342748.07170804124,417.0427712396417,0.8108579322402168
RandomForestRegressorM150N220,0.5341403292905229,332201.8912250198,412.54900010634896,0.81292413048056
RandomForestRegressorM150N245,0.5348260324284735,332522.7826509339,412.4468431559317,0.8131133648354685
RandomForestRegressorM150N270,0.5335867151937861,332943.7043608952,412.3646543203761,0.8130616490274808
RandomForestRegressorM150N295,0.5362977169583051,330346.1855211898,411.2534261069059,0.8135411463865432
RandomForestRegressorM150N45,0.5277121141145339,337161.8847140121,413.35247962311155,0.8125288915012998
RandomForestRegressorM150N70,0.5280729901229028,336606.36205012316,415.3380979720602,0.8117402429114972
RandomForestRegressorM150N95,0.5307314310156475,334883.2578301746,414.18740003964797,0.8122707984070625
RandomForestRegressorM175N120,0.5345213692581778,331838.5746760706,412.16904500914484,0.8130833959017084
RandomForestRegressorM175N145,0.5314077996025456,334563.67894112144,413.3315438911559,0.8125986078794473
RandomForestRegressorM175N170,0.5359793253853791,331112.6951015731,411.6774500477017,0.8133882823472297
RandomForestRegressorM175N195,0.5344356367198445,331478.373854204,411.6411943187503,0.8133400394953256
RandomForestRegressorM175N20,0.5199620419813891,343068.74294734263,419.5553020899418,0.8098657148463977
RandomForestRegressorM175N220,0.5344234536332299,332039.6311617205,411.88558609104876,0.8132406995618735
RandomForestRegressorM175N245,0.5349124910972584,331715.8853645282,411.86860315560955,0.8132368037894409
RandomForestRegressorM175N270,0.5351650859440135,331655.5803911339,412.1018758162268,0.8131946459424778
RandomForestRegressorM175N295,0.5349629253094249,331601.5995838029,411.73477970758086,0.8133177483771887
RandomForestRegressorM175N45,0.5312189410005616,334712.2005572923,413.5868071283002,0.81246256957975
RandomForestRegressorM175N70,0.531979737623274,332603.0753524164,413.33977009984466,0.8123752788368473
RandomForestRegressorM175N95,0.5311575885238283,333897.4774279564,412.980919216967,0.8126389157363584
RandomForestRegressorM200N120,0.5327249607592592,333035.45305395167,412.7150502595234,0.8128231154611043
RandomForestRegressorM200N145,0.533903877040663,332635.65229495964,411.86205841442484,0.8132627010336955
RandomForestRegressorM200N170,0.535064851564497,331214.8597081147,411.69091005178194,0.8133262889642088
RandomForestRegressorM200N195,0.5348188194755509,331747.4751542806,412.07208634197156,0.8131461110338873
RandomForestRegressorM200N20,0.5172528466134055,343706.13611588517,418.7003617485911,0.8100920988671635
RandomForestRegressorM200N220,0.5344187658185899,331831.75921062846,411.89889739242415,0.8132713857633497
RandomForestRegressorM200N245,0.5337055268374334,332351.30494282115,412.36835803802654,0.813008214790033
RandomForestRegressorM200N270,0.534858881527374,331342.8410851325,412.28807366210197,0.8130110911078048
RandomForestRegressorM200N295,0.5353955149738372,331772.5688213049,411.3236367654064,0.8135392865185331
RandomForestRegressorM200N45,0.5281981213504461,335745.9613640755,414.4332910784305,0.8120912882371619
RandomForestRegressorM200N70,0.53245101969564,333591.8184177082,413.3059866859436,0.8125723947112432
RandomForestRegressorM200N95,0.5309170071177708,333680.7998495927,413.06375148131303,0.8126323559959157
RandomForestRegressorM225N120,0.5317877786516187,334097.9773852352,413.11516340793855,0.8126837194312702
RandomForestRegressorM225N145,0.5357455909563893,330987.0262062265,412.31753671752784,0.8130343019099128
RandomForestRegressorM225N170,0.5343159260958948,332337.2256129794,412.622129666861,0.8129161985970494
RandomForestRegressorM225N195,0.5351359418359052,331394.2976499464,411.74562436457416,0.8132550721159489
RandomForestRegressorM225N20,0.5206117616277866,340618.2197246695,419.8783877125108,0.8094905509305895
RandomForestRegressorM225N220,0.5341946386064709,332736.7409709577,412.0677143905034,0.8132194135075397
RandomForestRegressorM225N245,0.5342893592761837,331823.782367679,412.2739496752437,0.8130538867737354
RandomForestRegressorM225N270,0.531677011544991,333804.01069149975,413.0128498623078,0.8127061779855504
RandomForestRegressorM225N295,0.5339151950064788,332607.733647487,412.08157366995795,0.8131702397360419
RandomForestRegressorM225N45,0.5276900031618593,337107.66452070785,415.1092229565629,0.8119358568988356
RandomForestRegressorM225N70,0.5286681109662796,336272.34405584884,414.83373948327204,0.8119966763210421
RandomForestRegressorM225N95,0.532204437593942,333200.3573494861,412.843570175499,0.81270915512881
RandomForestRegressorM250N120,0.5319922452742919,333647.494945798,413.5411188648677,0.812420622182003
RandomForestRegressorM250N145,0.5338713656655821,333287.29898315517,412.0195244764522,0.8131908356396969
RandomForestRegressorM250N170,0.5350794789336707,332002.1595709595,412.6789404598447,0.8129814865196806
RandomForestRegressorM250N195,0.5314874258884541,334406.97951859114,413.6176729187375,0.8124530626154178
RandomForestRegressorM250N20,0.5199036379973829,341405.48613602755,417.93148884149645,0.810421259736616
RandomForestRegressorM250N220,0.5357501955784961,331348.6944870452,411.6533811039017,0.8133506415936917
RandomForestRegressorM250N245,0.5339182288845155,332872.75922167505,412.53423521593436,0.8129844172660587
RandomForestRegressorM250N270,0.5342966704694155,332430.11862516595,412.4409610292614,0.813047032162107
RandomForestRegressorM250N295,0.5346688718699688,331787.0060790127,411.70448081191785,0.8133308110531559
RandomForestRegressorM250N45,0.529423316773029,335101.8206495591,413.91712420882016,0.8123143626988308
RandomForestRegressorM250N70,0.529312547409874,335542.7241153737,414.44875486213243,0.8120022407100459
RandomForestRegressorM250N95,0.5312100679719953,333971.6765511616,413.86613208233695,0.8123045867925014
RandomForestRegressorM275N120,0.5309021406870044,334194.33613472496,413.5675472233554,0.812485356777047
RandomForestRegressorM275N145,0.5318710357466249,333133.067190316,412.22470672245885,0.8129844659491339
RandomForestRegressorM275N170,0.5329057442142033,332945.5819077007,412.8396110281343,0.812740915984398
RandomForestRegressorM275N195,0.5337250836314255,332225.4913189946,412.1945737586929,0.8130015597072318
RandomForestRegressorM275N20,0.5185224218602212,343051.1276753387,419.7916161050306,0.8095639147739617
RandomForestRegressorM275N220,0.5347985744914687,332105.98176161235,411.99115906164934,0.8132126272251613
RandomForestRegressorM275N245,0.5324010875596007,333444.7513591282,412.7090202083484,0.8128436723606819
RandomForestRegressorM275N270,0.5340507494192495,332307.14605037926,412.1461697148757,0.8131375852403924
RandomForestRegressorM275N295,0.5329185153840057,333267.063108753,412.47004046987956,0.8130110454705206
RandomForestRegressorM275N45,0.5296359324072814,335177.2221358397,414.81269380686655,0.8117720647224085
RandomForestRegressorM275N70,0.5266973789193843,337171.57177210116,414.9501549296943,0.8118428245609528
RandomForestRegressorM275N95,0.5331706687696883,332858.8800841486,412.67313730972194,0.8128885168143832
RandomForestRegressorM300N120,0.5295770847435178,334729.0991614193,413.73088954743514,0.8123066648817212
